algo,mse,alpha,dataset
albopt,3.2899,0.1,people
albopt_pow2,3.0775,0.1,people
albopt_pow2_max_c,2.7594,0.1,people
random_sim,5.9948,0.1,people
greedy_sim,3.1133,0.1,people
albopt,1.0218,0.1,people
albopt_pow2,1.0532,0.1,people
albopt_pow2_max_c,1.1107,0.1,people
random_sim,1.6353,0.1,people
greedy_sim,0.8424,0.1,people
albopt,3.6114,0.1,people
albopt_pow2,2.5507,0.1,people
albopt_pow2_max_c,2.741,0.1,people
random_sim,4.804,0.1,people
greedy_sim,2.7622,0.1,people
albopt,2.4346,0.1,people
albopt_pow2,1.8164,0.1,people
albopt_pow2_max_c,1.4886,0.1,people
random_sim,5.483,0.1,people
greedy_sim,1.7205,0.1,people
albopt,1.2365,0.1,people
albopt_pow2,0.9137,0.1,people
albopt_pow2_max_c,0.6723,0.1,people
random_sim,2.9428,0.1,people
greedy_sim,1.1749,0.1,people
albopt,1.7686,0.1,people
albopt_pow2,1.2611,0.1,people
albopt_pow2_max_c,1.1401,0.1,people
random_sim,6.5516,0.1,people
greedy_sim,1.537,0.1,people
albopt,1.0831,0.1,people
albopt_pow2,0.8243,0.1,people
albopt_pow2_max_c,0.7748,0.1,people
random_sim,1.5989,0.1,people
greedy_sim,0.7638,0.1,people
albopt,2.5575,0.1,people
albopt_pow2,2.1826,0.1,people
albopt_pow2_max_c,1.8688,0.1,people
random_sim,7.2943,0.1,people
greedy_sim,2.459,0.1,people
albopt,1.5059,0.1,people
albopt_pow2,1.9136,0.1,people
albopt_pow2_max_c,2.801,0.1,people
random_sim,2.9053,0.1,people
greedy_sim,1.9167,0.1,people
albopt,2.1848,0.1,people
albopt_pow2,1.9758,0.1,people
albopt_pow2_max_c,1.7911,0.1,people
random_sim,3.1388,0.1,people
greedy_sim,2.1924,0.1,people
albopt,1.3138,0.1,people
albopt_pow2,1.0789,0.1,people
albopt_pow2_max_c,1.0423,0.1,people
random_sim,4.6447,0.1,people
greedy_sim,0.8889,0.1,people
albopt,2.0103,0.1,people
albopt_pow2,1.905,0.1,people
albopt_pow2_max_c,1.8616,0.1,people
random_sim,4.2438,0.1,people
greedy_sim,2.1733,0.1,people
albopt,0.8784,0.1,people
albopt_pow2,1.1976,0.1,people
albopt_pow2_max_c,1.1194,0.1,people
random_sim,3.9808,0.1,people
greedy_sim,0.7199,0.1,people
albopt,1.42,0.1,people
albopt_pow2,1.2093,0.1,people
albopt_pow2_max_c,1.3867,0.1,people
random_sim,7.8051,0.1,people
greedy_sim,1.082,0.1,people
albopt,1.6558,0.1,people
albopt_pow2,1.6206,0.1,people
albopt_pow2_max_c,1.6486,0.1,people
random_sim,4.4293,0.1,people
greedy_sim,2.1119,0.1,people
albopt,1.0772,0.1,people
albopt_pow2,0.9996,0.1,people
albopt_pow2_max_c,0.8955,0.1,people
random_sim,1.6314,0.1,people
greedy_sim,0.902,0.1,people
albopt,0.8703,0.1,people
albopt_pow2,0.8669,0.1,people
albopt_pow2_max_c,0.8944,0.1,people
random_sim,2.4184,0.1,people
greedy_sim,1.4448,0.1,people
albopt,2.4775,0.1,people
albopt_pow2,2.4763,0.1,people
albopt_pow2_max_c,2.6304,0.1,people
random_sim,3.0809,0.1,people
greedy_sim,3.2799,0.1,people
albopt,1.0815,0.1,people
albopt_pow2,1.102,0.1,people
albopt_pow2_max_c,1.1507,0.1,people
random_sim,1.688,0.1,people
greedy_sim,1.3759,0.1,people
albopt,5.3928,0.1,people
albopt_pow2,4.6804,0.1,people
albopt_pow2_max_c,4.4944,0.1,people
random_sim,9.0,0.1,people
greedy_sim,5.2675,0.1,people
albopt,1.6735,0.1,people
albopt_pow2,1.5817,0.1,people
albopt_pow2_max_c,1.7656,0.1,people
random_sim,4.5635,0.1,people
greedy_sim,1.5136,0.1,people
albopt,2.6508,0.1,people
albopt_pow2,2.4578,0.1,people
albopt_pow2_max_c,2.6442,0.1,people
random_sim,3.7863,0.1,people
greedy_sim,2.7955,0.1,people
albopt,1.3817,0.1,people
albopt_pow2,0.9208,0.1,people
albopt_pow2_max_c,1.2424,0.1,people
random_sim,2.2571,0.1,people
greedy_sim,1.1083,0.1,people
albopt,1.4771,0.1,people
albopt_pow2,1.2733,0.1,people
albopt_pow2_max_c,1.2489,0.1,people
random_sim,2.9655,0.1,people
greedy_sim,1.4708,0.1,people
albopt,1.5911,0.1,people
albopt_pow2,0.9872,0.1,people
albopt_pow2_max_c,1.2232,0.1,people
random_sim,3.0151,0.1,people
greedy_sim,0.919,0.1,people
albopt,5.1994,0.1,people
albopt_pow2,4.8494,0.1,people
albopt_pow2_max_c,5.0881,0.1,people
random_sim,7.3223,0.1,people
greedy_sim,4.9709,0.1,people
albopt,1.8404,0.1,people
albopt_pow2,1.3415,0.1,people
albopt_pow2_max_c,1.3735,0.1,people
random_sim,6.317,0.1,people
greedy_sim,1.3856,0.1,people
albopt,1.8073,0.1,people
albopt_pow2,1.3904,0.1,people
albopt_pow2_max_c,1.3391,0.1,people
random_sim,2.8785,0.1,people
greedy_sim,1.5343,0.1,people
albopt,1.1301,0.1,people
albopt_pow2,0.9979,0.1,people
albopt_pow2_max_c,0.7516,0.1,people
random_sim,2.1982,0.1,people
greedy_sim,0.9385,0.1,people
albopt,1.4049,0.1,people
albopt_pow2,1.4652,0.1,people
albopt_pow2_max_c,1.4495,0.1,people
random_sim,1.8146,0.1,people
greedy_sim,1.717,0.1,people
albopt,4.0697,0.1,people
albopt_pow2,2.8124,0.1,people
albopt_pow2_max_c,2.476,0.1,people
random_sim,5.5233,0.1,people
greedy_sim,3.8619,0.1,people
albopt,1.8564,0.1,people
albopt_pow2,1.4163,0.1,people
albopt_pow2_max_c,1.4617,0.1,people
random_sim,4.5738,0.1,people
greedy_sim,1.5396,0.1,people
albopt,1.1788,0.1,people
albopt_pow2,1.5182,0.1,people
albopt_pow2_max_c,1.5002,0.1,people
random_sim,2.7694,0.1,people
greedy_sim,1.932,0.1,people
albopt,2.0929,0.1,people
albopt_pow2,1.7481,0.1,people
albopt_pow2_max_c,1.7287,0.1,people
random_sim,3.2623,0.1,people
greedy_sim,2.1296,0.1,people
albopt,2.1422,0.1,people
albopt_pow2,2.1361,0.1,people
albopt_pow2_max_c,2.0788,0.1,people
random_sim,4.1801,0.1,people
greedy_sim,2.1462,0.1,people
albopt,1.5833,0.1,people
albopt_pow2,0.9702,0.1,people
albopt_pow2_max_c,1.0218,0.1,people
random_sim,3.9777,0.1,people
greedy_sim,1.1089,0.1,people
albopt,0.8584,0.1,people
albopt_pow2,1.2056,0.1,people
albopt_pow2_max_c,1.1043,0.1,people
random_sim,2.4846,0.1,people
greedy_sim,1.1975,0.1,people
albopt,2.4113,0.1,people
albopt_pow2,1.9915,0.1,people
albopt_pow2_max_c,1.8692,0.1,people
random_sim,5.731,0.1,people
greedy_sim,2.1265,0.1,people
albopt,3.7276,0.1,people
albopt_pow2,2.4268,0.1,people
albopt_pow2_max_c,2.5826,0.1,people
random_sim,6.8738,0.1,people
greedy_sim,3.357,0.1,people
albopt,1.6565,0.1,people
albopt_pow2,1.7162,0.1,people
albopt_pow2_max_c,1.5087,0.1,people
random_sim,2.3435,0.1,people
greedy_sim,1.6652,0.1,people
albopt,1.069,0.1,people
albopt_pow2,0.8979,0.1,people
albopt_pow2_max_c,0.7377,0.1,people
random_sim,4.4891,0.1,people
greedy_sim,1.1548,0.1,people
albopt,3.0271,0.1,people
albopt_pow2,2.6606,0.1,people
albopt_pow2_max_c,3.0199,0.1,people
random_sim,4.6658,0.1,people
greedy_sim,2.9221,0.1,people
albopt,2.1777,0.1,people
albopt_pow2,2.0562,0.1,people
albopt_pow2_max_c,2.4512,0.1,people
random_sim,4.1689,0.1,people
greedy_sim,1.9975,0.1,people
albopt,2.0304,0.1,people
albopt_pow2,1.8824,0.1,people
albopt_pow2_max_c,1.9141,0.1,people
random_sim,6.7198,0.1,people
greedy_sim,2.2715,0.1,people
albopt,1.0183,0.1,people
albopt_pow2,0.7975,0.1,people
albopt_pow2_max_c,0.832,0.1,people
random_sim,2.1603,0.1,people
greedy_sim,0.8271,0.1,people
albopt,2.8851,0.1,people
albopt_pow2,2.5287,0.1,people
albopt_pow2_max_c,2.2819,0.1,people
random_sim,8.0619,0.1,people
greedy_sim,3.3084,0.1,people
albopt,2.5861,0.1,people
albopt_pow2,2.7429,0.1,people
albopt_pow2_max_c,2.6752,0.1,people
random_sim,4.641,0.1,people
greedy_sim,2.5704,0.1,people
albopt,1.5954,0.1,people
albopt_pow2,1.86,0.1,people
albopt_pow2_max_c,1.9164,0.1,people
random_sim,1.0251,0.1,people
greedy_sim,2.128,0.1,people
albopt,2.7279,0.1,people
albopt_pow2,2.5758,0.1,people
albopt_pow2_max_c,2.6181,0.1,people
random_sim,4.8573,0.1,people
greedy_sim,3.1093,0.1,people
albopt,1.251,0.1,people
albopt_pow2,1.4944,0.1,people
albopt_pow2_max_c,1.0462,0.1,people
random_sim,2.2134,0.1,people
greedy_sim,1.8599,0.1,people
albopt,2.3796,0.1,people
albopt_pow2,2.3721,0.1,people
albopt_pow2_max_c,2.5462,0.1,people
random_sim,5.0387,0.1,people
greedy_sim,2.1482,0.1,people
albopt,1.2449,0.1,people
albopt_pow2,0.9891,0.1,people
albopt_pow2_max_c,1.0045,0.1,people
random_sim,2.1193,0.1,people
greedy_sim,1.5293,0.1,people
albopt,1.9269,0.1,people
albopt_pow2,1.9304,0.1,people
albopt_pow2_max_c,1.5681,0.1,people
random_sim,3.0823,0.1,people
greedy_sim,2.2629,0.1,people
albopt,1.9505,0.1,people
albopt_pow2,1.935,0.1,people
albopt_pow2_max_c,1.9259,0.1,people
random_sim,4.2051,0.1,people
greedy_sim,2.0939,0.1,people
albopt,1.1783,0.1,people
albopt_pow2,1.374,0.1,people
albopt_pow2_max_c,1.3863,0.1,people
random_sim,2.9841,0.1,people
greedy_sim,1.1954,0.1,people
albopt,2.9027,0.1,people
albopt_pow2,1.7888,0.1,people
albopt_pow2_max_c,1.686,0.1,people
random_sim,7.4442,0.1,people
greedy_sim,2.4104,0.1,people
albopt,3.324,0.1,people
albopt_pow2,2.5105,0.1,people
albopt_pow2_max_c,2.2486,0.1,people
random_sim,8.3098,0.1,people
greedy_sim,3.6402,0.1,people
albopt,3.1041,0.1,people
albopt_pow2,2.5218,0.1,people
albopt_pow2_max_c,1.9598,0.1,people
random_sim,5.1508,0.1,people
greedy_sim,3.7091,0.1,people
albopt,1.7405,0.1,people
albopt_pow2,1.6961,0.1,people
albopt_pow2_max_c,1.7138,0.1,people
random_sim,2.1046,0.1,people
greedy_sim,2.1335,0.1,people
albopt,1.6251,0.1,people
albopt_pow2,1.3757,0.1,people
albopt_pow2_max_c,1.2069,0.1,people
random_sim,6.0702,0.1,people
greedy_sim,1.3529,0.1,people
albopt,1.5446,0.1,people
albopt_pow2,1.2966,0.1,people
albopt_pow2_max_c,1.0971,0.1,people
random_sim,2.7581,0.1,people
greedy_sim,1.3586,0.1,people
albopt,1.065,0.1,people
albopt_pow2,1.1476,0.1,people
albopt_pow2_max_c,1.2845,0.1,people
random_sim,2.5811,0.1,people
greedy_sim,1.2447,0.1,people
albopt,1.6976,0.1,people
albopt_pow2,1.6381,0.1,people
albopt_pow2_max_c,1.5593,0.1,people
random_sim,2.5879,0.1,people
greedy_sim,2.1786,0.1,people
albopt,1.1815,0.1,people
albopt_pow2,1.0711,0.1,people
albopt_pow2_max_c,0.9162,0.1,people
random_sim,3.7053,0.1,people
greedy_sim,0.8604,0.1,people
albopt,1.6963,0.1,people
albopt_pow2,1.5824,0.1,people
albopt_pow2_max_c,1.5679,0.1,people
random_sim,4.7222,0.1,people
greedy_sim,1.8015,0.1,people
albopt,1.5556,0.1,people
albopt_pow2,1.467,0.1,people
albopt_pow2_max_c,1.2778,0.1,people
random_sim,5.8747,0.1,people
greedy_sim,1.1313,0.1,people
albopt,1.839,0.1,people
albopt_pow2,1.2062,0.1,people
albopt_pow2_max_c,1.2293,0.1,people
random_sim,2.933,0.1,people
greedy_sim,1.3958,0.1,people
albopt,2.2479,0.1,people
albopt_pow2,2.4801,0.1,people
albopt_pow2_max_c,2.2945,0.1,people
random_sim,2.9921,0.1,people
greedy_sim,2.231,0.1,people
albopt,2.3358,0.1,people
albopt_pow2,1.7359,0.1,people
albopt_pow2_max_c,1.3714,0.1,people
random_sim,3.7731,0.1,people
greedy_sim,2.3274,0.1,people
albopt,1.1476,0.1,people
albopt_pow2,1.283,0.1,people
albopt_pow2_max_c,1.4086,0.1,people
random_sim,2.2123,0.1,people
greedy_sim,1.1605,0.1,people
albopt,1.0642,0.1,people
albopt_pow2,1.0265,0.1,people
albopt_pow2_max_c,0.9886,0.1,people
random_sim,5.4325,0.1,people
greedy_sim,1.0759,0.1,people
albopt,1.0169,0.1,people
albopt_pow2,0.9121,0.1,people
albopt_pow2_max_c,0.8803,0.1,people
random_sim,2.0542,0.1,people
greedy_sim,1.013,0.1,people
albopt,1.8748,0.1,people
albopt_pow2,1.3553,0.1,people
albopt_pow2_max_c,1.7964,0.1,people
random_sim,7.0855,0.1,people
greedy_sim,1.3258,0.1,people
albopt,2.7569,0.1,people
albopt_pow2,2.2243,0.1,people
albopt_pow2_max_c,1.774,0.1,people
random_sim,8.3052,0.1,people
greedy_sim,3.0299,0.1,people
albopt,1.9943,0.1,people
albopt_pow2,1.9354,0.1,people
albopt_pow2_max_c,1.9998,0.1,people
random_sim,2.169,0.1,people
greedy_sim,1.9142,0.1,people
albopt,1.8841,0.1,people
albopt_pow2,1.3407,0.1,people
albopt_pow2_max_c,1.3565,0.1,people
random_sim,4.0043,0.1,people
greedy_sim,1.3771,0.1,people
albopt,2.0023,0.1,people
albopt_pow2,1.8289,0.1,people
albopt_pow2_max_c,1.7042,0.1,people
random_sim,4.2494,0.1,people
greedy_sim,1.9921,0.1,people
albopt,1.3412,0.1,people
albopt_pow2,1.006,0.1,people
albopt_pow2_max_c,0.9805,0.1,people
random_sim,3.9659,0.1,people
greedy_sim,1.0208,0.1,people
albopt,1.7783,0.1,people
albopt_pow2,2.3047,0.1,people
albopt_pow2_max_c,2.6839,0.1,people
random_sim,3.1892,0.1,people
greedy_sim,1.8808,0.1,people
albopt,2.05,0.1,people
albopt_pow2,1.8511,0.1,people
albopt_pow2_max_c,1.6392,0.1,people
random_sim,2.1052,0.1,people
greedy_sim,1.6552,0.1,people
albopt,1.9024,0.1,people
albopt_pow2,1.3008,0.1,people
albopt_pow2_max_c,1.7111,0.1,people
random_sim,2.3109,0.1,people
greedy_sim,1.5877,0.1,people
albopt,2.6738,0.1,people
albopt_pow2,2.4669,0.1,people
albopt_pow2_max_c,2.2707,0.1,people
random_sim,4.15,0.1,people
greedy_sim,2.541,0.1,people
albopt,2.1633,0.1,people
albopt_pow2,1.4826,0.1,people
albopt_pow2_max_c,1.1396,0.1,people
random_sim,6.2755,0.1,people
greedy_sim,1.4762,0.1,people
albopt,2.2319,0.1,people
albopt_pow2,1.2884,0.1,people
albopt_pow2_max_c,1.1966,0.1,people
random_sim,8.9313,0.1,people
greedy_sim,1.8394,0.1,people
albopt,1.6101,0.1,people
albopt_pow2,1.3241,0.1,people
albopt_pow2_max_c,1.1467,0.1,people
random_sim,3.8834,0.1,people
greedy_sim,1.8393,0.1,people
albopt,1.2647,0.1,people
albopt_pow2,0.5362,0.1,people
albopt_pow2_max_c,0.4838,0.1,people
random_sim,3.3015,0.1,people
greedy_sim,0.7095,0.1,people
albopt,2.2564,0.1,people
albopt_pow2,1.6577,0.1,people
albopt_pow2_max_c,1.5473,0.1,people
random_sim,3.8556,0.1,people
greedy_sim,1.9543,0.1,people
albopt,2.4356,0.1,people
albopt_pow2,1.6646,0.1,people
albopt_pow2_max_c,1.6418,0.1,people
random_sim,3.8801,0.1,people
greedy_sim,1.9058,0.1,people
albopt,1.289,0.1,people
albopt_pow2,1.4434,0.1,people
albopt_pow2_max_c,1.489,0.1,people
random_sim,2.7925,0.1,people
greedy_sim,1.4819,0.1,people
albopt,1.9214,0.1,people
albopt_pow2,1.8484,0.1,people
albopt_pow2_max_c,1.9941,0.1,people
random_sim,8.8255,0.1,people
greedy_sim,1.7695,0.1,people
albopt,2.8989,0.1,people
albopt_pow2,2.8137,0.1,people
albopt_pow2_max_c,2.5712,0.1,people
random_sim,5.4886,0.1,people
greedy_sim,3.1568,0.1,people
albopt,3.1864,0.1,people
albopt_pow2,2.3129,0.1,people
albopt_pow2_max_c,2.2321,0.1,people
random_sim,7.8619,0.1,people
greedy_sim,3.079,0.1,people
albopt,1.3754,0.1,people
albopt_pow2,0.8803,0.1,people
albopt_pow2_max_c,0.7282,0.1,people
random_sim,5.1574,0.1,people
greedy_sim,1.3809,0.1,people
albopt,3.161,0.1,people
albopt_pow2,3.068,0.1,people
albopt_pow2_max_c,2.8572,0.1,people
random_sim,6.9934,0.1,people
greedy_sim,3.1788,0.1,people
albopt,1.63,0.1,people
albopt_pow2,1.2737,0.1,people
albopt_pow2_max_c,1.5014,0.1,people
random_sim,4.1312,0.1,people
greedy_sim,1.0881,0.1,people
albopt,1.1123,0.1,people
albopt_pow2,1.2257,0.1,people
albopt_pow2_max_c,1.0917,0.1,people
random_sim,2.6513,0.1,people
greedy_sim,1.66,0.1,people
albopt,1.3178,0.1,people
albopt_pow2,1.139,0.1,people
albopt_pow2_max_c,1.1954,0.1,people
random_sim,2.9725,0.1,people
greedy_sim,0.9238,0.1,people
albopt,1.8777,0.1,people
albopt_pow2,1.4775,0.1,people
albopt_pow2_max_c,1.2856,0.1,people
random_sim,4.361,0.1,people
greedy_sim,1.6305,0.1,people
albopt,1.5361,0.1,people
albopt_pow2,0.9319,0.1,people
albopt_pow2_max_c,0.9966,0.1,people
random_sim,2.2729,0.1,people
greedy_sim,1.317,0.1,people
albopt,0.6618,0.1,people
albopt_pow2,0.298,0.1,people
albopt_pow2_max_c,0.267,0.1,people
random_sim,5.5708,0.1,people
greedy_sim,0.3675,0.1,people
albopt,1.1053,0.3,people
albopt_pow2,1.2698,0.3,people
albopt_pow2_max_c,1.5985,0.3,people
random_sim,5.194,0.3,people
greedy_sim,0.955,0.3,people
albopt,1.6358,0.3,people
albopt_pow2,1.9804,0.3,people
albopt_pow2_max_c,1.7686,0.3,people
random_sim,1.3997,0.3,people
greedy_sim,2.1071,0.3,people
albopt,0.9872,0.3,people
albopt_pow2,1.2775,0.3,people
albopt_pow2_max_c,1.0887,0.3,people
random_sim,1.3022,0.3,people
greedy_sim,1.0217,0.3,people
albopt,1.1414,0.3,people
albopt_pow2,0.7622,0.3,people
albopt_pow2_max_c,0.9258,0.3,people
random_sim,4.2841,0.3,people
greedy_sim,1.1444,0.3,people
albopt,1.1516,0.3,people
albopt_pow2,0.7459,0.3,people
albopt_pow2_max_c,0.53,0.3,people
random_sim,2.0627,0.3,people
greedy_sim,0.7139,0.3,people
albopt,2.0358,0.3,people
albopt_pow2,1.7912,0.3,people
albopt_pow2_max_c,2.1469,0.3,people
random_sim,1.668,0.3,people
greedy_sim,1.9272,0.3,people
albopt,1.1385,0.3,people
albopt_pow2,1.1384,0.3,people
albopt_pow2_max_c,1.0798,0.3,people
random_sim,1.385,0.3,people
greedy_sim,1.0739,0.3,people
albopt,1.5176,0.3,people
albopt_pow2,1.6174,0.3,people
albopt_pow2_max_c,1.5012,0.3,people
random_sim,2.1897,0.3,people
greedy_sim,1.5224,0.3,people
albopt,0.736,0.3,people
albopt_pow2,0.6064,0.3,people
albopt_pow2_max_c,0.4981,0.3,people
random_sim,2.4647,0.3,people
greedy_sim,0.7955,0.3,people
albopt,0.9371,0.3,people
albopt_pow2,0.8996,0.3,people
albopt_pow2_max_c,0.5983,0.3,people
random_sim,2.5513,0.3,people
greedy_sim,1.0218,0.3,people
albopt,1.1326,0.3,people
albopt_pow2,1.1956,0.3,people
albopt_pow2_max_c,1.3662,0.3,people
random_sim,0.7105,0.3,people
greedy_sim,1.6185,0.3,people
albopt,1.1282,0.3,people
albopt_pow2,1.1785,0.3,people
albopt_pow2_max_c,1.0851,0.3,people
random_sim,3.9119,0.3,people
greedy_sim,0.9021,0.3,people
albopt,1.0926,0.3,people
albopt_pow2,1.019,0.3,people
albopt_pow2_max_c,0.8085,0.3,people
random_sim,2.0537,0.3,people
greedy_sim,1.1126,0.3,people
albopt,0.9181,0.3,people
albopt_pow2,0.6774,0.3,people
albopt_pow2_max_c,0.7536,0.3,people
random_sim,1.7484,0.3,people
greedy_sim,1.0251,0.3,people
albopt,1.3429,0.3,people
albopt_pow2,1.3963,0.3,people
albopt_pow2_max_c,1.4096,0.3,people
random_sim,0.7474,0.3,people
greedy_sim,1.534,0.3,people
albopt,1.5772,0.3,people
albopt_pow2,1.6926,0.3,people
albopt_pow2_max_c,1.5621,0.3,people
random_sim,2.0883,0.3,people
greedy_sim,2.0923,0.3,people
albopt,0.8676,0.3,people
albopt_pow2,1.0568,0.3,people
albopt_pow2_max_c,1.1627,0.3,people
random_sim,2.022,0.3,people
greedy_sim,0.925,0.3,people
albopt,1.3886,0.3,people
albopt_pow2,1.3472,0.3,people
albopt_pow2_max_c,1.6776,0.3,people
random_sim,2.3511,0.3,people
greedy_sim,1.54,0.3,people
albopt,0.607,0.3,people
albopt_pow2,0.8539,0.3,people
albopt_pow2_max_c,0.89,0.3,people
random_sim,1.0269,0.3,people
greedy_sim,0.9763,0.3,people
albopt,0.9854,0.3,people
albopt_pow2,1.0881,0.3,people
albopt_pow2_max_c,0.9097,0.3,people
random_sim,2.317,0.3,people
greedy_sim,1.0778,0.3,people
albopt,0.772,0.3,people
albopt_pow2,0.8539,0.3,people
albopt_pow2_max_c,1.0287,0.3,people
random_sim,1.1897,0.3,people
greedy_sim,0.9718,0.3,people
albopt,1.9754,0.3,people
albopt_pow2,2.4314,0.3,people
albopt_pow2_max_c,2.5418,0.3,people
random_sim,2.6247,0.3,people
greedy_sim,2.5452,0.3,people
albopt,1.2871,0.3,people
albopt_pow2,1.0434,0.3,people
albopt_pow2_max_c,0.9158,0.3,people
random_sim,2.1363,0.3,people
greedy_sim,0.7416,0.3,people
albopt,0.5517,0.3,people
albopt_pow2,0.9263,0.3,people
albopt_pow2_max_c,0.7644,0.3,people
random_sim,1.2204,0.3,people
greedy_sim,0.9366,0.3,people
albopt,0.8958,0.3,people
albopt_pow2,0.9405,0.3,people
albopt_pow2_max_c,0.7454,0.3,people
random_sim,3.8761,0.3,people
greedy_sim,1.1042,0.3,people
albopt,1.1957,0.3,people
albopt_pow2,1.0259,0.3,people
albopt_pow2_max_c,1.1546,0.3,people
random_sim,1.4856,0.3,people
greedy_sim,1.1663,0.3,people
albopt,0.8532,0.3,people
albopt_pow2,1.0409,0.3,people
albopt_pow2_max_c,1.1198,0.3,people
random_sim,3.3795,0.3,people
greedy_sim,0.9185,0.3,people
albopt,1.1027,0.3,people
albopt_pow2,1.2069,0.3,people
albopt_pow2_max_c,1.4289,0.3,people
random_sim,2.5148,0.3,people
greedy_sim,1.2736,0.3,people
albopt,1.5478,0.3,people
albopt_pow2,2.1158,0.3,people
albopt_pow2_max_c,2.2855,0.3,people
random_sim,1.9602,0.3,people
greedy_sim,1.9449,0.3,people
albopt,0.7585,0.3,people
albopt_pow2,0.6465,0.3,people
albopt_pow2_max_c,0.551,0.3,people
random_sim,1.2636,0.3,people
greedy_sim,0.8486,0.3,people
albopt,1.2741,0.3,people
albopt_pow2,1.7305,0.3,people
albopt_pow2_max_c,2.1676,0.3,people
random_sim,2.1508,0.3,people
greedy_sim,1.7788,0.3,people
albopt,1.756,0.3,people
albopt_pow2,1.4627,0.3,people
albopt_pow2_max_c,1.6061,0.3,people
random_sim,3.1522,0.3,people
greedy_sim,1.4691,0.3,people
albopt,0.6417,0.3,people
albopt_pow2,0.6483,0.3,people
albopt_pow2_max_c,0.5236,0.3,people
random_sim,1.3145,0.3,people
greedy_sim,0.4219,0.3,people
albopt,0.9752,0.3,people
albopt_pow2,1.1715,0.3,people
albopt_pow2_max_c,0.6464,0.3,people
random_sim,2.6523,0.3,people
greedy_sim,0.9498,0.3,people
albopt,1.8355,0.3,people
albopt_pow2,1.5961,0.3,people
albopt_pow2_max_c,1.6458,0.3,people
random_sim,2.8779,0.3,people
greedy_sim,1.8852,0.3,people
albopt,1.2463,0.3,people
albopt_pow2,1.5331,0.3,people
albopt_pow2_max_c,1.8376,0.3,people
random_sim,1.6231,0.3,people
greedy_sim,1.4369,0.3,people
albopt,0.9078,0.3,people
albopt_pow2,1.2578,0.3,people
albopt_pow2_max_c,0.8442,0.3,people
random_sim,3.8535,0.3,people
greedy_sim,1.2731,0.3,people
albopt,0.6106,0.3,people
albopt_pow2,0.5946,0.3,people
albopt_pow2_max_c,0.5791,0.3,people
random_sim,2.1837,0.3,people
greedy_sim,0.6502,0.3,people
albopt,1.4754,0.3,people
albopt_pow2,0.9493,0.3,people
albopt_pow2_max_c,1.3264,0.3,people
random_sim,4.2066,0.3,people
greedy_sim,1.3078,0.3,people
albopt,1.0399,0.3,people
albopt_pow2,1.012,0.3,people
albopt_pow2_max_c,1.1097,0.3,people
random_sim,0.9201,0.3,people
greedy_sim,1.0855,0.3,people
albopt,0.8121,0.3,people
albopt_pow2,0.9694,0.3,people
albopt_pow2_max_c,0.9879,0.3,people
random_sim,0.9496,0.3,people
greedy_sim,1.0612,0.3,people
albopt,1.0765,0.3,people
albopt_pow2,1.239,0.3,people
albopt_pow2_max_c,1.3212,0.3,people
random_sim,2.7766,0.3,people
greedy_sim,1.1116,0.3,people
albopt,1.3537,0.3,people
albopt_pow2,1.7952,0.3,people
albopt_pow2_max_c,2.4917,0.3,people
random_sim,4.749,0.3,people
greedy_sim,1.6153,0.3,people
albopt,1.7679,0.3,people
albopt_pow2,1.9739,0.3,people
albopt_pow2_max_c,2.2079,0.3,people
random_sim,1.5806,0.3,people
greedy_sim,1.96,0.3,people
albopt,1.3501,0.3,people
albopt_pow2,1.5399,0.3,people
albopt_pow2_max_c,1.6451,0.3,people
random_sim,2.3959,0.3,people
greedy_sim,1.5863,0.3,people
albopt,2.5894,0.3,people
albopt_pow2,2.2462,0.3,people
albopt_pow2_max_c,2.3508,0.3,people
random_sim,3.6519,0.3,people
greedy_sim,2.4614,0.3,people
albopt,1.5058,0.3,people
albopt_pow2,1.3295,0.3,people
albopt_pow2_max_c,1.3002,0.3,people
random_sim,3.0443,0.3,people
greedy_sim,1.5179,0.3,people
albopt,1.0936,0.3,people
albopt_pow2,1.3709,0.3,people
albopt_pow2_max_c,1.5668,0.3,people
random_sim,1.8924,0.3,people
greedy_sim,1.5016,0.3,people
albopt,1.7742,0.3,people
albopt_pow2,1.9398,0.3,people
albopt_pow2_max_c,1.8558,0.3,people
random_sim,2.7078,0.3,people
greedy_sim,2.13,0.3,people
albopt,0.7694,0.3,people
albopt_pow2,1.2545,0.3,people
albopt_pow2_max_c,1.2871,0.3,people
random_sim,2.8443,0.3,people
greedy_sim,1.5709,0.3,people
albopt,1.3176,0.3,people
albopt_pow2,0.8691,0.3,people
albopt_pow2_max_c,1.09,0.3,people
random_sim,2.0125,0.3,people
greedy_sim,1.2231,0.3,people
albopt,1.0548,0.3,people
albopt_pow2,1.5156,0.3,people
albopt_pow2_max_c,2.1389,0.3,people
random_sim,0.9974,0.3,people
greedy_sim,1.5241,0.3,people
albopt,1.3054,0.3,people
albopt_pow2,1.5516,0.3,people
albopt_pow2_max_c,1.3775,0.3,people
random_sim,1.7467,0.3,people
greedy_sim,1.9604,0.3,people
albopt,0.5549,0.3,people
albopt_pow2,0.7471,0.3,people
albopt_pow2_max_c,0.8341,0.3,people
random_sim,0.7147,0.3,people
greedy_sim,0.6364,0.3,people
albopt,1.2219,0.3,people
albopt_pow2,1.1835,0.3,people
